Year | Efficiency | Energy Delivered (kWh/year)
-----------------------------------------------
   0 | 0.850      | 255,000
   1 | 0.835      | 250,500
   2 | 0.820      | 246,000
   3 | 0.805      | 241,500
   4 | 0.790      | 237,000
   5 | 0.775      | 232,500
   6 | 0.760      | 228,000
   7 | 0.745      | 223,500
   8 | 0.730      | 219,000
   9 | 0.715      | 214,500
  10 | 0.700      | 210,000
  11 | 0.685      | 205,500
  12 | 0.670      | 201,000
  13 | 0.655      | 196,500
  14 | 0.640      | 192,000
  15 | 0.625      | 187,500
